512
0.6606151070658544 0.8378039351251595 0.34938252487484045 | 0.0 -0.49800000000000005 0.0
0.6609885099241847 0.8379702170889485 0.39998724904841526 | 0.0 -0.49800000000000005 0.0
0.6609996759332196 0.8379835552527269 0.45000033958882985 | 0.0 -0.49800000000000005 0.0
0.6609996759332196 0.8379835552527269 0.4999996604111703 | 0.0 -0.49800000000000005 0.0
0.6609885099241847 0.8379702170889485 0.550012750951585 | 0.0 -0.49800000000000005 0.0
0.6606151070658544 0.8378039351251595 0.6006174751251595 | 0.0 -0.49800000000000005 0.0
0.6587737680860172 0.8376267566501916 0.6587737680860172 | 0.0 -0.49800000000000005 0.0
0.2909517057842797 0.7872022984668531 0.2909517057842797 | 0.0 -0.49800000000000005 0.0
0.2890114900758156 0.787199210951585 0.34921624291105163 | 0.0 -0.49800000000000005 0.0
0.28856920193557717 0.7872078068910404 0.3999786531089593 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.7872164218132908 0.45000081951960147 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.7872164218132908 0.4999991804803985 | 0.0 -0.49800000000000005 0.0
0.2885692019355771 0.7872078068910404 0.5500213468910403 | 0.0 -0.49800000000000005 0.0
0.2890114900758156 0.7871992109515851 0.6007837570889485 | 0.0 -0.49800000000000005 0.0
0.2909517057842797 0.7872022984668531 0.6590482942157203 | 0.0 -0.49800000000000005 0.0
0.34921624291105163 0.787199210951585 0.2890114900758156 | 0.0 -0.49800000000000005 0.0
0.3488768481396463 0.7871865257121411 0.3488768481396463 | 0.0 -0.49800000000000005 0.0
0.34862074400717186 0.7871957555534158 0.3999907044465846 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.7872085296216461 0.4500021751202383 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.7872085296216461 0.49999782487976163 | 0.0 -0.49800000000000005 0.0
0.34862074400717186 0.7871957555534158 0.5500092955534157 | 0.0 -0.49800000000000005 0.0
0.3488768481396463 0.7871865257121411 0.6011231518603535 | 0.0 -0.49800000000000005 0.0
0.34921624291105163 0.7871992109515851 0.6609885099241847 | 0.0 -0.49800000000000005 0.0
0.3999786531089593 0.7872078068910404 0.28856920193557717 | 0.0 -0.49800000000000005 0.0
0.3999907044465846 0.7871957555534158 0.34862074400717186 | 0.0 -0.49800000000000005 0.0
0.39997776863827883 0.7872086913617216 0.39997776863827883 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.7872243372735195 0.4500038613545241 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.7872243372735195 0.499996138645476 | 0.0 -0.49800000000000005 0.0
0.39997776863827883 0.7872086913617216 0.5500222313617215 | 0.0 -0.49800000000000005 0.0
0.3999907044465846 0.7871957555534158 0.6013792559928284 | 0.0 -0.49800000000000005 0.0
0.3999786531089593 0.7872078068910404 0.6614307980644231 | 0.0 -0.49800000000000005 0.0
